,dtype,missing_rate,n_unique
bb_lower_agree_20_100,int64,0.0,2
bb_lower_agree_20_200,int64,0.0,2
bb_lower_agree_all,int64,0.0,2
bb_trend_context_buy,int64,0.0,2
sig_bb_reversion_buy,int64,0.0,2
sig_pullback_trend_buy,int64,0.0,2
sig_momentum_buy,int64,0.0,2
buy_signal,int64,0.0,2
dow_sin,float64,0.0,5
dow_cos,float64,0.0,6
bb20_mid_ov_std,float32,0.0,501
bb20_upper_ov_std,float32,0.0,501
bb20_lower_ov_std,float32,0.0,501
bb20_pos_rank_500,float32,0.0,501
bb20_z_rank_500,float32,0.0,501
bb20_width_atr_rank_500,float32,0.0,501
bb100_mid_ov_std,float32,0.0,501
bb100_upper_ov_std,float32,0.0,501
bb100_lower_ov_std,float32,0.0,501
bb100_pos_rank_500,float32,0.0,501
bb100_z_rank_500,float32,0.0,501
bb100_width_atr_rank_500,float32,0.0,501
bb200_mid_ov_std,float32,0.0,501
bb200_upper_ov_std,float32,0.0,501
bb200_lower_ov_std,float32,0.0,501
bb200_pos_rank_500,float32,0.0,501
bb200_z_rank_500,float32,0.0,501
bb200_width_atr_rank_500,float32,0.0,501
tod_sin,float64,0.0,1278
tod_cos,float64,0.0,1305
bb20_mid_gap_atr_rollstd_200,float32,0.0,946868
bb20_lower_gap_atr_rollmean_200,float32,0.0,951965
bb20_mid_gap_atr_rollstd_100,float32,0.0,958870
bb20_lower_gap_atr_rollstd_200,float32,0.0,961385
bb20_lower_gap_atr_rollmean_100,float32,0.0,968897
bb200_pos_cycle_sin,float32,0.0,969407
bb20_lower_gap_atr_rollstd_100,float32,0.0,971476
bb100_pos_cycle_sin,float32,0.0,971864
bb100_mid_gap_atr_rollstd_200,float32,0.0,972185
bb20_pos_cycle_sin,float32,0.0,974288
bb200_pos_cycle_cos,float32,0.0,975748
bb100_mid_gap_atr_rollstd_100,float32,0.0,977293
bb100_pos_cycle_cos,float32,0.0,977611
bb200_mid_gap_atr_rollstd_200,float32,0.0,978080
bb100_lower_gap_atr_rollstd_200,float32,0.0,978722
bb20_width_atr,float32,0.0,979016
bb20_mid_gap_atr_rollstd_20,float32,0.0,979141
bb200_mid_gap_atr_rollstd_100,float32,0.0,979215
bb100_width_over_bb200,float32,0.0,979436
bb20_pos_cycle_cos,float32,0.0,980643
bb100_mid_gap_atr_rollstd_20,float32,0.0,980809
bb100_width_atr,float32,0.0,981015
bb200_mid_gap_atr_rollstd_20,float32,0.0,981031
bb100_lower_gap_atr_rollstd_100,float32,0.0,981429
bb100_lower_gap_atr_rollstd_20,float32,0.0,982462
bb20_lower_gap_atr_rollstd_20,float32,0.0,982928
bb200_lower_gap_atr_rollstd_200,float32,0.0,983294
bb200_lower_gap_atr_rollstd_20,float32,0.0,983364
bb200_lower_gap_atr_rollstd_100,float32,0.0,983392
bb100_lower_gap_atr_rollmean_200,float32,0.0,984791
bb200_width_atr,float32,0.0,986017
bb20_width_over_bb100,float32,0.0,988302
bb20_lower_gap_atr_rollmean_20,float32,0.0,989567
bb20_width_over_bb200,float32,0.0,990610
bb100_lower_gap_atr_rollmean_100,float32,0.0,990705
bb200_lower_gap_atr_rollmean_200,float32,0.0,991343
bb200_lower_gap_atr_rollmean_100,float32,0.0,994671
bb100_lower_gap_atr_rollmean_20,float32,0.0,995769
bb100_upper_ov_value,float32,0.0,996144
bb100_upper_ov_value_lag1,float32,0.0,996144
bb100_upper_ov_value_lag3,float32,0.0,996144
bb100_upper_ov_value_lag5,float32,0.0,996144
bb100_upper_ov_value_lag8,float32,0.0,996144
bb100_upper_ov_value_lag13,float32,0.0,996144
bb100_upper_ov_distance,float32,0.0,996144
bb100_upper_ov_distance_lag1,float32,0.0,996144
bb100_upper_ov_distance_lag3,float32,0.0,996144
bb100_upper_ov_distance_lag5,float32,0.0,996144
bb100_upper_ov_distance_lag8,float32,0.0,996144
bb100_upper_ov_distance_lag13,float32,0.0,996144
bb20_lower_ov_value,float32,0.0,996262
bb20_lower_ov_value_lag1,float32,0.0,996262
bb20_lower_ov_value_lag3,float32,0.0,996262
bb20_lower_ov_value_lag5,float32,0.0,996262
bb20_lower_ov_value_lag8,float32,0.0,996262
bb20_lower_ov_value_lag13,float32,0.0,996262
bb20_lower_ov_distance,float32,0.0,996262
bb20_lower_ov_distance_lag1,float32,0.0,996262
bb20_lower_ov_distance_lag3,float32,0.0,996262
bb20_lower_ov_distance_lag5,float32,0.0,996262
bb20_lower_ov_distance_lag8,float32,0.0,996262
bb20_lower_ov_distance_lag13,float32,0.0,996262
bb20_upper_ov_value_lag3,float32,0.0,996266
bb20_upper_ov_value_lag5,float32,0.0,996266
bb20_upper_ov_value_lag8,float32,0.0,996266
bb20_upper_ov_value_lag13,float32,0.0,996266
bb20_upper_ov_distance_lag3,float32,0.0,996266
bb20_upper_ov_distance_lag5,float32,0.0,996266
bb20_upper_ov_distance_lag8,float32,0.0,996266
bb20_upper_ov_distance_lag13,float32,0.0,996266
bb20_upper_ov_value,float32,0.0,996267
bb20_upper_ov_value_lag1,float32,0.0,996267
bb20_upper_ov_distance,float32,0.0,996267
bb20_upper_ov_distance_lag1,float32,0.0,996267
bb100_lower_ov_value,float32,0.0,996550
bb100_lower_ov_value_lag1,float32,0.0,996550
bb100_lower_ov_value_lag3,float32,0.0,996550
bb100_lower_ov_value_lag5,float32,0.0,996550
bb100_lower_ov_value_lag8,float32,0.0,996550
bb100_lower_ov_value_lag13,float32,0.0,996550
bb100_lower_ov_distance,float32,0.0,996550
bb100_lower_ov_distance_lag1,float32,0.0,996550
bb100_lower_ov_distance_lag3,float32,0.0,996550
bb100_lower_ov_distance_lag5,float32,0.0,996550
bb100_lower_ov_distance_lag8,float32,0.0,996550
bb100_lower_ov_distance_lag13,float32,0.0,996550
bb200_lower_gap_atr_rollmean_20,float32,0.0,996685
bb200_upper_ov_value_lag8,float32,0.0,997219
bb200_upper_ov_value_lag13,float32,0.0,997219
bb200_upper_ov_distance_lag8,float32,0.0,997219
bb200_upper_ov_distance_lag13,float32,0.0,997219
bb200_upper_ov_value,float32,0.0,997220
bb200_upper_ov_value_lag1,float32,0.0,997220
bb200_upper_ov_value_lag3,float32,0.0,997220
bb200_upper_ov_value_lag5,float32,0.0,997220
bb200_upper_ov_distance,float32,0.0,997220
bb200_upper_ov_distance_lag1,float32,0.0,997220
bb200_upper_ov_distance_lag3,float32,0.0,997220
bb200_upper_ov_distance_lag5,float32,0.0,997220
bb200_lower_ov_value,float32,0.0,997234
bb200_lower_ov_value_lag1,float32,0.0,997234
bb200_lower_ov_value_lag3,float32,0.0,997234
bb200_lower_ov_value_lag5,float32,0.0,997234
bb200_lower_ov_value_lag8,float32,0.0,997234
bb200_lower_ov_value_lag13,float32,0.0,997234
bb200_lower_ov_distance,float32,0.0,997234
bb200_lower_ov_distance_lag1,float32,0.0,997234
