start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1339,1942.258,1936.258,1948.258,market,buy,6.0,6.0,0.16,0.01,1339,2021-01-04 21:24:00,No res,1339,1.0,6.0,2021-01-04 21:24:00
1340,1942.394,1936.394,1948.394,market,buy,6.0,6.0,0.16,0.01,1340,2021-01-04 21:25:00,No res,1340,1.0,6.0,2021-01-04 21:25:00
1341,1942.237,1936.237,1948.237,market,buy,6.0,6.0,0.16,0.01,1341,2021-01-04 21:26:00,No res,1341,1.0,6.0,2021-01-04 21:26:00
1342,1942.207,1936.207,1948.207,market,buy,6.0,6.0,0.16,0.01,1342,2021-01-04 21:27:00,No res,1342,1.0,6.0,2021-01-04 21:27:00
1343,1942.094,1936.094,1948.094,market,buy,6.0,6.0,0.16,0.01,1343,2021-01-04 21:28:00,No res,1343,1.0,6.0,2021-01-04 21:28:00
1344,1942.09,1936.09,1948.09,market,buy,6.0,6.0,0.16,0.01,1344,2021-01-04 21:29:00,No res,1344,1.0,6.0,2021-01-04 21:29:00
1345,1942.18,1936.18,1948.18,market,buy,6.0,6.0,0.16,0.01,1345,2021-01-04 21:30:00,No res,1345,1.0,6.0,2021-01-04 21:30:00
1346,1942.294,1936.294,1948.294,market,buy,6.0,6.0,0.16,0.01,1346,2021-01-04 21:31:00,No res,1346,1.0,6.0,2021-01-04 21:31:00
1354,1942.482,1936.482,1948.482,market,buy,6.0,6.0,0.16,0.01,1354,2021-01-04 21:39:00,No res,1354,1.0,6.0,2021-01-04 21:39:00
1355,1942.462,1936.462,1948.462,market,buy,6.0,6.0,0.16,0.01,1355,2021-01-04 21:40:00,No res,1355,1.0,6.0,2021-01-04 21:40:00
1356,1942.402,1936.402,1948.402,market,buy,6.0,6.0,0.16,0.01,1356,2021-01-04 21:41:00,No res,1356,1.0,6.0,2021-01-04 21:41:00
1362,1942.449,1936.449,1948.449,market,buy,6.0,6.0,0.16,0.01,1362,2021-01-04 21:47:00,No res,1362,1.0,6.0,2021-01-04 21:47:00
1364,1942.551,1936.551,1948.551,market,buy,6.0,6.0,0.16,0.01,1364,2021-01-04 21:49:00,No res,1364,1.0,6.0,2021-01-04 21:49:00
1365,1942.703,1936.703,1948.703,market,buy,6.0,6.0,0.16,0.01,1365,2021-01-04 21:50:00,No res,1365,1.0,6.0,2021-01-04 21:50:00
1366,1942.515,1936.515,1948.515,market,buy,6.0,6.0,0.16,0.01,1366,2021-01-04 21:51:00,No res,1366,1.0,6.0,2021-01-04 21:51:00
1367,1942.648,1936.648,1948.648,market,buy,6.0,6.0,0.16,0.01,1367,2021-01-04 21:52:00,No res,1367,1.0,6.0,2021-01-04 21:52:00
1368,1942.675,1936.675,1948.675,market,buy,6.0,6.0,0.16,0.01,1368,2021-01-04 21:53:00,No res,1368,1.0,6.0,2021-01-04 21:53:00
1371,1942.571,1936.571,1948.571,market,buy,6.0,6.0,0.16,0.01,1371,2021-01-04 21:56:00,No res,1371,1.0,6.0,2021-01-04 21:56:00
1373,1942.629,1936.629,1948.629,market,buy,6.0,6.0,0.16,0.01,1373,2021-01-04 21:58:00,No res,1373,1.0,6.0,2021-01-04 21:58:00
