year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2016,0.565,5043,5028,1882,999,883,3146,53.0818,119.48,676.2,1638.48,404.44,0.0
2017,0.565,6161,6144,1717,895,822,4427,52.1258,116.11,1614.0,3152.52,1050.44,0.0
2018,0.565,5942,5927,1593,905,688,4334,56.811,113.44,802.56,4372.64,213.88,0.0
2019,0.565,5879,5864,1603,1000,603,4261,62.383,112.94,17650.0,17650.0,115.28,0.0
2020,0.565,4471,4471,2588,1646,942,1883,63.6012,146.24,115551.4,115551.4,0.0,172673.0
2021,0.565,4986,4971,1867,1146,721,3104,61.3819,94.24,7214.32,8132.32,380.4,0.0
2022,0.565,4650,4634,2304,1302,1002,2330,56.5104,126.15,568.16,3846.16,0.0,0.0
2023,0.565,4815,4798,2069,1179,890,2729,56.9841,118.91,1643.68,3691.36,384.2,0.0
2024,0.565,3119,3119,2024,1203,821,1095,59.4368,106.13,12642.32,39443.44,0.0,0.0
2025,0.565,4123,4123,3208,1858,1350,915,57.9177,108.94,6172.56,9458.0,600.0,0.0
2026,0.565,2188,2188,2005,1120,885,183,55.8603,42.99,291.92,100456.6,1175.04,48297.0
TOTAL,0.565,51377,51267,22860,13253,9607,28407,57.9746,1205.57,164827.12,115551.4,4323.68,220970.0
